"UID1_ProvidersResKey","E306_ProviderCode","E781_ProviderType","UID31_CampusCourseFeesResKey","UID4_CoursesOnCampusResKey","E525_CampusSuburb","E644_CampusCountryCode","E559_CampusPostcode","Campuses_E609_EffectiveFromDate","UID5_CoursesResKey","E307_CourseCode","E536_CourseFeesCode","E495_IndicativeStudentContributionCSP","E496_IndicativeTuitionFeeDomesticFP","E609_EffectiveFromDate"
35,1055,"HEP",38683,42204,"CRAWLEY",1101,"6009","01/01/1999",91179,"213501",2,"NULL","36946.00","01/11/2021"
35,1055,"HEP",65623,42204,"CRAWLEY",1101,"6009","01/01/1999",91179,"213501",2,"NULL","37453.50","01/11/2022"
35,1055,"HEP",38675,42207,"CRAWLEY",1101,"6009","01/01/1999",92283,"122601",2,"NULL","23400.00","01/01/2016"
35,1055,"HEP",38701,42221,"CRAWLEY",1101,"6009","01/01/1999",94032,"203203",3,"14500.00","32800.00","01/01/2015"
35,1055,"HEP",38707,42221,"CRAWLEY",1101,"6009","01/01/1999",94032,"203203",3,"14630.00","33292.00","01/11/2021"
35,1055,"HEP",65641,42221,"CRAWLEY",1101,"6009","01/01/1999",94032,"203203",1,"15142.00","NULL","01/11/2022"
35,1055,"HEP",43948,43190,"CRAWLEY",1101,"6009","01/01/1999",130344,"CM0152",1,"9048.00","NULL","01/01/2022"
35,1055,"HEP",65629,43190,"CRAWLEY",1101,"6009","01/01/1999",130344,"CM0152",1,"7556.00","NULL","01/11/2022"
35,1055,"HEP",43951,43193,"CRAWLEY",1101,"6009","01/01/1999",129602,"CB0011",1,"9050.00","NULL","01/01/2022"
35,1055,"HEP",65668,43193,"CRAWLEY",1101,"6009","01/01/1999",129602,"CB0011",1,"9822.00","NULL","01/11/2022"
35,1055,"HEP",26120,37443,"CRAWLEY",1101,"6009","01/01/1999",129614,"008702",0,"NULL","NULL","01/01/2005"
35,1055,"HEP",32541,38411,"CRAWLEY",1101,"6009","01/01/1999",101471,"523204",0,"NULL","NULL","01/01/2018"
35,1055,"HEP",33219,39098,"CRAWLEY",1101,"6009","01/01/1999",130416,"705501",1,"8792.00","NULL","01/01/2021"
35,1055,"HEP",38465,39098,"CRAWLEY",1101,"6009","01/01/1999",130416,"705501",1,"6810.00","NULL","01/11/2021"
35,1055,"HEP",65454,39098,"CRAWLEY",1101,"6009","01/01/1999",130416,"705501",1,"7600.00","NULL","01/11/2022"
35,1055,"HEP",38554,42170,"CRAWLEY",1101,"6009","01/01/1999",82422,"625501",1,"7472.00","NULL","01/01/2014"
35,1055,"HEP",38597,42170,"CRAWLEY",1101,"6009","01/01/1999",82422,"625501",1,"7824.00","NULL","01/11/2021"
35,1055,"HEP",65521,42170,"CRAWLEY",1101,"6009","01/01/1999",82422,"625501",1,"8129.00","NULL","01/11/2022"
35,1055,"HEP",38558,42173,"CRAWLEY",1101,"6009","01/01/1999",101176,"545901",1,"14500.00","NULL","01/01/2013"
35,1055,"HEP",38616,42173,"CRAWLEY",1101,"6009","01/01/1999",101176,"545901",1,"14630.00","NULL","01/11/2021"
35,1055,"HEP",65539,42173,"CRAWLEY",1101,"6009","01/01/1999",101176,"545901",1,"4124.00","NULL","01/11/2022"
35,1055,"HEP",38695,42220,"CRAWLEY",1101,"6009","01/01/1999",97556,"205502",3,"14500.00","32800.00","01/01/2016"
35,1055,"HEP",38706,42220,"CRAWLEY",1101,"6009","01/01/1999",97556,"205502",3,"14630.00","33292.00","01/11/2021"
35,1055,"HEP",32371,38141,"CRAWLEY",1101,"6009","01/01/1999",10380,"4000N3",0,"NULL","NULL","01/06/2005"
35,1055,"HEP",65446,38141,"CRAWLEY",1101,"6009","01/01/1999",10380,"4000N3",1,"17654.00","NULL","01/11/2022"
35,1055,"HEP",32537,38407,"CRAWLEY",1101,"6009","01/01/1999",53009,"400303",0,"NULL","NULL","01/01/2009"
35,1055,"HEP",38710,38407,"CRAWLEY",1101,"6009","01/01/1999",53009,"400303",1,"11457.00","NULL","01/11/2021"
35,1055,"HEP",65709,38407,"CRAWLEY",1101,"6009","01/01/1999",53009,"400303",1,"11457.00","NULL","01/11/2022"
35,1055,"HEP",32546,38416,"SINGAPORE BUSINESS",5205,"NULL","01/01/1999",53009,"400303",0,"NULL","NULL","01/01/2009"
35,1055,"HEP",38508,42124,"CRAWLEY",1101,"6009","01/01/1999",46823,"913502",2,"NULL","26000.00","01/01/2017"
35,1055,"HEP",38611,42124,"CRAWLEY",1101,"6009","01/01/1999",46823,"913502",2,"NULL","26390.00","01/11/2021"
35,1055,"HEP",65493,42124,"CRAWLEY",1101,"6009","01/01/1999",46823,"913502",2,"NULL","26796.00","01/11/2022"
35,1055,"HEP",51439,44957,"CRAWLEY",1101,"6009","01/01/1999",132881,"CM0121",1,"9050.00","NULL","01/01/2022"
35,1055,"HEP",65703,44957,"CRAWLEY",1101,"6009","01/01/1999",132881,"CM0121",1,"9247.00","NULL","01/11/2022"
35,1055,"HEP",55708,46438,"CRAWLEY",1101,"6009","01/01/1999",129599,"BP0281",1,"9050.00","NULL","01/01/2022"
35,1055,"HEP",65670,46438,"CRAWLEY",1101,"6009","01/01/1999",129599,"BP0281",1,"7661.00","NULL","01/11/2022"
35,1055,"HEP",38470,39339,"CRAWLEY",1101,"6009","01/01/1999",130415,"BP0121",1,"13608.00","NULL","01/11/2021"
35,1055,"HEP",65466,39339,"CRAWLEY",1101,"6009","01/01/1999",130415,"BP0121",1,"9924.00","NULL","01/11/2022"
35,1055,"HEP",38512,42128,"CRAWLEY",1101,"6009","01/01/1999",101309,"908303",2,"NULL","35000.00","01/01/2018"
35,1055,"HEP",38531,42147,"CRAWLEY",1101,"6009","01/01/1999",98855,"725404",1,"7681.00","NULL","01/07/2016"
35,1055,"HEP",38599,42147,"CRAWLEY",1101,"6009","01/01/1999",98855,"725404",1,"7998.00","NULL","01/11/2021"
35,1055,"HEP",65503,42147,"CRAWLEY",1101,"6009","01/01/1999",98855,"725404",1,"8068.00","NULL","01/11/2022"
35,1055,"HEP",38682,42213,"CRAWLEY",1101,"6009","01/01/1999",91304,"005001",2,"NULL","32700.00","01/01/2016"
35,1055,"HEP",38698,42213,"CRAWLEY",1101,"6009","01/01/1999",91304,"005001",2,"NULL","33190.50","01/11/2021"
35,1055,"HEP",65638,42213,"CRAWLEY",1101,"6009","01/01/1999",91304,"005001",2,"NULL","33698.00","01/11/2022"
35,1055,"HEP",43943,43185,"CRAWLEY",1101,"6009","01/01/1999",129595,"BP0261",1,"9050.00","NULL","01/01/2022"
35,1055,"HEP",65676,43185,"CRAWLEY",1101,"6009","01/01/1999",129595,"BP0261",1,"12676.00","NULL","01/11/2022"
35,1055,"HEP",43971,43215,"CRAWLEY",1101,"6009","01/01/1999",129603,"CB0021",1,"9050.00","NULL","01/01/2022"
35,1055,"HEP",65695,43215,"CRAWLEY",1101,"6009","01/01/1999",129603,"CB0021",1,"9182.00","NULL","01/11/2022"
35,1055,"HEP",26002,37323,"CARNARVON",1101,"6701","01/01/1999",84346,"908501",0,"NULL","NULL","01/01/2014"
35,1055,"HEP",33212,39091,"CRAWLEY",1101,"6009","01/01/1999",99118,"533701",3,"7700.00","23400.00","01/01/2015"
35,1055,"HEP",33440,39336,"CRAWLEY",1101,"6009","01/01/1999",130419,"BP0081",1,"11504.00","NULL","01/01/2021"
35,1055,"HEP",38471,39336,"CRAWLEY",1101,"6009","01/01/1999",130419,"BP0081",1,"8123.00","NULL","01/11/2021"
35,1055,"HEP",65462,39336,"CRAWLEY",1101,"6009","01/01/1999",130419,"BP0081",1,"8365.00","NULL","01/11/2022"
35,1055,"HEP",38528,42144,"SINGAPORE ARTS",5205,"NULL","01/01/1999",117216,"BP0014",1,"11504.00","NULL","01/01/2021"
35,1055,"HEP",38603,42144,"SINGAPORE ARTS",5205,"NULL","01/01/1999",117216,"BP0014",1,"11945.00","NULL","01/11/2021"
35,1055,"HEP",65483,42144,"SINGAPORE ARTS",5205,"NULL","01/01/1999",117216,"BP0014",1,"12352.00","NULL","01/11/2022"
35,1055,"HEP",38551,42167,"CRAWLEY",1101,"6009","01/01/1999",92463,"715501",3,"13528.00","24400.00","01/01/2015"
35,1055,"HEP",38601,42167,"CRAWLEY",1101,"6009","01/01/1999",92463,"715501",3,"13507.00","24766.00","01/11/2021"
