"UID1_ProvidersResKey","E306_ProviderCode","E781_ProviderType","UID3_CoursesOfStudyResKey","E533_CourseOfStudyCode","UID5_CoursesResKey","E307_CourseCode","E394_CourseOfStudyName","UID48_CourseFieldsOfEducationResKey","E461_FieldOfEducationCode","E462_FieldOfEducationSupplementaryCode","E609_EffectiveFromDate","E610_EffectiveToDate"
35,1055,"HEP",17124,"40520",43475,"405201","Master of Economics - Coursework",56076,91900,0,"01/01/2007","NULL"
35,1055,"HEP",17148,"10440",43507,"104401","Master of Psychology - Preliminary",56123,90701,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17148,"10440",43507,"104401","Master of Psychology - Preliminary",56124,90701,0,"01/01/2007","NULL"
35,1055,"HEP",17103,"70440",43593,"704401","Master of Science in Viticulture - Preliminary",56262,50303,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17103,"70440",43593,"704401","Master of Science in Viticulture - Preliminary",56263,50303,0,"01/01/2007","NULL"
35,1055,"HEP",17193,"50610",44043,"506101GH","Master of Science - Dissertation & Coursework",56927,90701,0,"01/01/2005","31/12/2005"
35,1055,"HEP",17193,"50610",44043,"506101GH","Master of Science - Dissertation & Coursework",56928,19900,0,"01/01/2006","NULL"
35,1055,"HEP",26257,"6112H",63319,"6112H1","Bachelor of Engineering and Bachelor of Arts (Asian Studies) (Honours)",79270,30000,91500,"01/01/2009","NULL"
35,1055,"HEP",20197,"11170",52587,"111701","Bachelor of Music and Bachelor of Arts",67330,100101,90000,"01/01/2005","NULL"
35,1055,"HEP",21832,"2019H",56549,"2019H1","Bachelor of Laws and Bachelor of Arts (Asian Studies) (Honours)",71938,90900,91500,"01/01/2007","NULL"
35,1055,"HEP",21847,"X-PROV UG",56631,"8000U1","Cross-Institution Undergraduate",72029,0,0,"01/01/2007","NULL"
35,1055,"HEP",17147,"10430",43638,"104301","Master of Music Education - Preliminary",56330,100101,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17147,"10430",43638,"104301","Master of Music Education - Preliminary",56331,100101,0,"01/01/2007","NULL"
35,1055,"HEP",17171,"30410",43731,"304101GH","Master of Education - Preliminary",56478,19900,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17171,"30410",43731,"304101GH","Master of Education - Preliminary",56479,19900,0,"01/01/2007","NULL"
35,1055,"HEP",17131,"40590",43781,"405901","Master of Information Management - Coursework",56551,80300,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17131,"40590",43781,"405901","Master of Information Management - Coursework",56552,80300,0,"01/01/2007","NULL"
35,1055,"HEP",17151,"10510",43838,"105101","Master of Arts - Coursework",56636,91501,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17151,"10510",43838,"105101","Master of Arts - Coursework",56637,91501,0,"01/01/2007","NULL"
35,1055,"HEP",17184,"50410",44006,"504101HL","Master of Science - Preliminary",56873,61300,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17184,"50410",44006,"504101HL","Master of Science - Preliminary",56874,61300,0,"01/01/2007","NULL"
35,1055,"HEP",18609,"41360",46668,"413601","Graduate Diploma in Viticulture Management",60079,80301,0,"01/01/2007","NULL"
35,1055,"HEP",20234,"51540",52634,"515401","Master of Psychology and Graduate Diploma in Education",67383,90701,70105,"01/01/2005","NULL"
35,1055,"HEP",21875,"41190",56778,"411901","Bachelor of Music and Bachelor of Economics",72190,91900,100101,"01/01/2005","NULL"
35,1055,"HEP",17112,"90350",43459,"903501","Graduate Diploma in Primary Health Care",56048,60119,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17112,"90350",43459,"903501","Graduate Diploma in Primary Health Care",56049,60119,0,"01/01/2007","NULL"
35,1055,"HEP",17114,"90520",43560,"905201","Master of Clinical Biochemistry - Coursework",56208,19901,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17114,"90520",43560,"905201","Master of Clinical Biochemistry - Coursework",56209,19901,0,"01/01/2007","NULL"
35,1055,"HEP",17121,"40420",43678,"404201GL","Master of Economics - Preliminary",56392,61799,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17121,"40420",43678,"404201GL","Master of Economics - Preliminary",56393,61799,0,"01/01/2007","NULL"
